repository_owner,repository_uri,overall_score,quality_score,maintainability_score,popularity_score,style_errors_per_nloc,security_notes_per_nloc,security_warnings_per_nloc,security_errors_per_nloc,subscribers_count_by_age,stargazers_count_by_age,forks_count_by_age,average_cyclomatic_complexity_for_repo_pct
vintlabs_fauxmoESP,https://github.com/vintlabs/fauxmoESP,45.98,96.85,37.31,3.77,0.008,0.011,0.0,0.004,0.05,0.45,0.06,2.7
Chia-Network_bls-signatures,https://github.com/Chia-Network/bls-signatures,45.92,99.21,35.33,3.23,0.006,0.003,0.0,0.0,0.04,0.2,0.13,1.15
analogdevicesinc_scopy,https://github.com/analogdevicesinc/scopy,45.92,98.44,37.27,2.05,0.017,0.002,0.0,0.0,0.03,0.1,0.06,1.68
Hotride_OrionUO,https://github.com/Hotride/OrionUO,45.86,98.96,37.16,1.44,0.007,0.002,0.0,0.0,0.02,0.08,0.05,2.34
nokiatech_heif,https://github.com/nokiatech/heif,45.86,99.08,35.03,3.47,0.008,0.002,0.0,0.0,0.03,0.65,0.1,1.4
baidu_unit-uskit,https://github.com/baidu/unit-uskit,45.85,98.64,37.24,1.67,0.013,0.001,0.0,0.0,0.02,0.19,0.05,2.28
MarekKowalski_LiveScan3D,https://github.com/MarekKowalski/LiveScan3D,45.83,98.23,36.76,2.5,0.019,0.004,0.0,0.0,0.03,0.25,0.08,1.53
KDE_amarok,https://github.com/KDE/amarok,45.81,96.89,39.92,0.63,0.042,0.001,0.0,0.0,0.01,0.06,0.01,1.62
micooz_DesignPattern,https://github.com/micooz/DesignPattern,45.78,95.94,41.08,0.34,0.062,0.0,0.0,0.0,0.0,0.06,0.04,0.19
facebookincubator_mvfst,https://github.com/facebookincubator/mvfst,45.74,99.48,32.98,4.76,0.002,0.001,0.0,0.0,0.05,0.76,0.11,1.66
xively_xively_arduino,https://github.com/xively/xively_arduino,45.74,94.11,41.99,1.13,0.042,0.018,0.0,0.005,0.02,0.03,0.02,1.53
brandonpelfrey_SimpleOctree,https://github.com/brandonpelfrey/SimpleOctree,45.73,96.44,40.55,0.2,0.039,0.015,0.0,0.0,0.0,0.06,0.02,0.79
robotastic_trunk-recorder,https://github.com/robotastic/trunk-recorder,45.73,97.92,37.02,2.25,0.022,0.003,0.0,0.0,0.03,0.23,0.05,2.38
tibirna_qgit,https://github.com/tibirna/qgit,45.7,98.83,38.0,0.27,0.009,0.001,0.0,0.0,0.0,0.06,0.03,2.66
TyrealGray_HMIYC,https://github.com/TyrealGray/HMIYC,45.64,99.44,37.36,0.11,0.006,0.0,0.0,0.0,0.0,0.05,0.01,0.83
tangrams_tangram-es,https://github.com/tangrams/tangram-es,45.63,98.69,35.65,2.54,0.009,0.001,0.0,0.0,0.03,0.27,0.08,3.34
